Game Name,Minimum Completion Time,Install Size (MB),Install Size Per Hour
while True: learn(),8.0,1220.0,152.5
theHunter: Call of the Wild (Windows),199.0,69440.0,348.94472361809045
theHunter: Call of the Wild,120.0,50640.0,422.0
the World According to Girl,31.0,757.0,24.419354838709676
skate. (2007),20.0,5000.0,250.0
sCATch: The Painter Cat,0.25,447.0,1788.0
sCATch 2: The Painter Cat,0.25,614.0,2456.0
reky,6.0,854.0,142.33333333333334
qomp2,3.0,484.0,161.33333333333334
pureya,23.0,493.0,21.434782608695652
orbit.industries,44.0,2570.0,58.40909090909091
oOo: Ascension,4.0,339.0,84.75
inbento,1.0,388.0,388.0
ilomilo plus (Windows),15.0,224.0,14.933333333333334
ilomilo,8.0,250.0,31.25
iStunt 2 (Windows),8.0,48.0,6.0
iO The Game (Windows),6.0,118.0,19.666666666666668
iO,20.5,432.0,21.073170731707318
forma.8,12.0,572.0,47.666666666666664
fig.,13.0,596.0,45.84615384615385
emoji Kart Racer,3.0,3360.0,1120.0
eFootball PES 2021 SEASON UPDATE,25.0,35200.0,1408.0
eFootball PES 2020,40.0,40380.0,1009.5
eFootball,1.0,77450.0,77450.0
de Blob 2 (Xbox 360),15.0,5940.0,396.0
de Blob 2,15.0,9750.0,650.0
de Blob,20.0,9070.0,453.5
art of rally,20.0,4019.9999999999995,200.99999999999997
[REDACTED],20.0,317.0,15.85
Zumba Kids,12.0,7710.0,642.5
Zumba Fitness: Rush,50.0,2140.0,42.8
Zumba Fitness World Party (JP),15.0,24210.0,1614.0
Zumba Fitness World Party,15.0,24150.0,1610.0
Zumba Fitness Core,15.0,2340.0,156.0
Zumania,24.0,590.0,24.583333333333332
Zuma's Revenge!,15.0,375.0,25.0
Zuma,50.0,27.0,0.54
Zorro: The Chronicles,6.0,14940.0,2490.0
ZooKeeper,32.0,1680.0,52.5
Zoo Tycoon: Ultimate Animal Collection,80.0,8970.0,112.125
Zoo Tycoon (Xbox 360),40.0,1015.0,25.375
Zoo Tycoon,40.0,2630.0,65.75
Zone of the Enders HD Collection,25.0,7540.0,301.6
Zomborg,0.25,1800.0,7200.0
Zombo Buster Rising,1.0,341.0,341.0
Zombo Buster Advance,1.0,1440.0,1440.0
"Zombies, Aliens and Guns",1.0,393.0,393.0
Zombies!!! (Windows),3.0,659.0,219.66666666666666
Zombies ruined my day,3.0,264.0,88.0
Zombies Ate My Neighbors and Ghoul Patrol,12.0,424.0,35.333333333333336
Zombieland: Double Tap - Road Trip,6.0,7210.0,1201.6666666666667
Zombie Wranglers,6.0,116.0,19.333333333333332
Zombie Watch,99.0,5630.0,56.86868686868687
Zombie Vikings,20.0,4780.0,239.0
Zombie Survivors (Xbox One),2.0,938.0,469.0
Zombie Survivors,2.0,928.0,464.0
Zombie Soup,23.0,2650.0,115.21739130434783
Zombie Rollerz: Pinball Heroes,145.0,1360.0,9.379310344827585
Zombie Pinball,53.0,586.0,11.056603773584905
Zombie Party,6.0,378.0,63.0
Zombie Hill Racing,12.0,254.0,21.166666666666668
Zombie Driver Ultimate Edition,17.0,1620.0,95.29411764705883
Zombie Driver HD,15.0,924.0,61.6
Zombie Derby: Pixel Survival (Windows),0.25,177.0,708.0
Zombie Derby: Pixel Survival,0.25,532.0,2128.0
Zombie Derby 2 (Windows),0.25,228.0,912.0
Zombie Derby 2,0.5,520.0,1040.0
Zombie Derby (Windows),0.25,124.0,496.0
Zombie Derby,0.5,439.0,878.0
Zombie Army Trilogy,40.0,10250.0,256.25
Zombie Army 4: Dead War,41.5,62380.0,1503.132530120482
Zombie Apocalypse: Never Die Alone,10.0,586.0,58.6
Zombie Apocalypse,8.0,342.0,42.75
ZombFarm,0.5,946.0,1892.0
Zoffice (Windows),0.25,453.0,1812.0
Zoffice,0.25,729.0,2916.0
Ziggy (Windows),0.25,383.0,1532.0
Ziggy,0.25,721.0,2884.0
Ziggurat 2,40.0,1740.0,43.5
Ziggurat,25.0,1270.0,50.8
Zeus Quest - The Rebirth of Earth,1.0,940.0,940.0
Zeroptian Invasion,0.25,222.0,888.0
Zero the Kamikaze Squirrel,1.0,360.0,360.0
Zero Zero Zero Zero,1.0,109.0,109.0
Zero Strain,1.0,808.0,808.0
Zero Escape: Zero Time Dilemma,20.0,3020.0,151.0
Zero Escape: The Nonary Games,40.0,6800.0,170.0
Zeno Clash: Ultimate Edition,6.0,1500.0,250.0
Zeno Clash II,8.0,1070.0,133.75
Zenith,8.0,6740.0,842.5
Zeit²,4.0,230.0,57.5
Zazmo Arcade Pack,4.0,156.0,39.0
Zapling Bygone,14.0,1480.0,105.71428571428571
Zaccaria Pinball,1.0,718.0,718.0
ZOMBI,20.0,21350.0,1067.5
ZHEROS,25.0,5240.0,209.6
ZERO GUNNER 2-,7.0,578.0,82.57142857142857
ZAMB! Redux,18.0,1400.0,77.77777777777777
Z-Warp,0.5,594.0,1188.0
Yuppie Psycho: Executive Edition,27.0,1210.0,44.81481481481482
Yuoni,4.0,3600.0,900.0
Yum Yum Cookstar,25.0,5930.0,237.2
Yuletide Legends: Who Framed Santa Claus,2.0,1060.0,530.0
Yuko and the Akuma Menace,26.0,1400.0,53.84615384615385
Yu-Gi-Oh! Millennium Duels,50.0,504.0,10.08
Yu-Gi-Oh! Master Duel,40.0,12020.0,300.5
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,50.0,1610.0,32.2
Yu-Gi-Oh! Legacy of the Duelist,40.0,2040.0,51.0
Yu-Gi-Oh! 5D's Decade Duels Plus,12.0,171.0,14.25
Ys Origin,100.0,1960.0,19.6
Youtubers Life 2,66.0,2300.0,34.84848484848485
Youtubers Life - OMG Edition,60.0,2330.0,38.833333333333336
Your Toy (CN),1.0,1880.0,1880.0
Your Toy,1.0,2029.9999999999998,2029.9999999999998
Your Shape: Fitness Evolved 2012,200.0,3930.0,19.65
Your Shape: Fitness Evolved,40.0,2720.0,68.0
Your Computer Might Be At Risk,7.0,2090.0,298.57142857142856
Young Souls,6.0,4840.0,806.6666666666666
Young Justice: Legacy,20.0,1980.0,99.0
You Suck at Parking,44.0,3830.0,87.04545454545455
You Don't Know Jack,15.0,2020.0,134.66666666666666
Yooka-Laylee and the Impossible Lair (Windows),20.0,5890.0,294.5
Yooka-Laylee and the Impossible Lair,15.0,3340.0,222.66666666666666
Yooka-Laylee (Windows),20.0,11330.0,566.5
Yooka-Laylee,20.0,5270.0,263.5
Yonder: The Cloud Catcher Chronicles (X|S),20.0,21920.0,1096.0
Yonder: The Cloud Catcher Chronicles,20.0,1480.0,74.0
Yoku's Island Express,12.0,1200.0,100.0
Yoko & Yuki: Dr. Rat's Revenge,0.25,238.0,952.0
Yohane the Parhelion: BLAZE in the DEEPBLUE,8.0,1050.0,131.25
Ynglet,1.5,1220.0,813.3333333333334
Yie Ar Kung-Fu,2.0,35.0,17.5
Yet Another Zombie Defense HD,6.0,534.0,89.0
Yesterday Origins,8.0,4790.0,598.75
YesterMorrow,18.0,636.0,35.333333333333336
"Yes, Your Grace",12.0,695.0,57.916666666666664
Yello Adventures,1.0,378.0,378.0
Yasai Ninja,10.0,1850.0,185.0
Yars: Recharged,14.0,775.0,55.357142857142854
Yars Rising,28.0,7790.0,278.2142857142857
Yar's Revenge,10.0,573.0,57.3
Yakuza: Like a Dragon,80.0,37150.0,464.375
Yakuza Kiwami 2 (Windows),60.0,43080.0,718.0
Yakuza Kiwami 2,60.0,40450.0,674.1666666666666
Yakuza Kiwami (Windows),60.0,46770.0,779.5
Yakuza Kiwami,60.0,22330.0,372.1666666666667
Yakuza 6: The Song of Life (Windows),40.0,39220.0,980.5
