Game Name,Minimum Completion Time,Number of Achievements,TAD,Achievements per Hour,TAD per Hour
while True: learn(),8.0,28,1687,3.5,210.875
uDraw Studio: Instant Artist,4.0,39,690,9.75,172.5
theHunter: Call of the Wild (Windows),199.0,114,21201,0.5728643216080402,106.53768844221105
theHunter: Call of the Wild,120.0,114,23497,0.95,195.80833333333334
the World According to Girl,31.0,30,3028,0.967741935483871,97.6774193548387
skate. (2007),20.0,44,1993,2.2,99.65
sCATch: The Painter Cat,0.25,10,39,40.0,156.0
sCATch 2: The Painter Cat,0.25,10,30,40.0,120.0
reky,6.0,22,1233,3.6666666666666665,205.5
qomp2,3.0,12,945,4.0,315.0
pureya,23.0,10,1915,0.43478260869565216,83.26086956521739
orbit.industries,44.0,35,2692,0.7954545454545454,61.18181818181818
oOo: Ascension,4.0,20,1250,5.0,312.5
inbento,1.0,15,214,15.0,214.0
ilomilo plus (Windows),15.0,20,277,1.3333333333333333,18.466666666666665
ilomilo,9.0,15,169,1.6666666666666667,18.77777777777778
iStunt 2 (Windows),8.0,20,280,2.5,35.0
iO The Game (Windows),6.0,20,283,3.3333333333333335,47.166666666666664
iO,20.5,34,4026,1.6585365853658536,196.390243902439
forma.8,12.0,30,936,2.5,78.0
fig.,13.0,25,2013,1.9230769230769231,154.84615384615384
emoji Kart Racer,3.0,29,162,9.666666666666666,54.0
eFootball PES 2021 SEASON UPDATE,25.0,49,2262,1.96,90.48
eFootball PES 2020,40.0,49,2067,1.225,51.675
eFootball,1.0,17,680,17.0,680.0
de Blob 2 (Xbox 360),15.0,25,1842,1.6666666666666667,122.8
de Blob 2,15.0,26,1427,1.7333333333333334,95.13333333333334
de Blob,20.0,23,3830,1.15,191.5
code_18,1.0,31,3,31.0,3.0
art of rally,20.0,43,2897,2.15,144.85
[REDACTED],20.0,34,1047,1.7,52.35
Zumba Kids,12.0,20,687,1.6666666666666667,57.25
Zumba Fitness: Rush,50.0,32,2368,0.64,47.36
Zumba Fitness World Party (Xbox 360),12.0,40,1367,3.3333333333333335,113.91666666666667
Zumba Fitness World Party (JP),15.0,38,344,2.533333333333333,22.933333333333334
Zumba Fitness World Party,15.0,39,1486,2.6,99.06666666666666
Zumba Fitness Core,15.0,34,1625,2.2666666666666666,108.33333333333333
Zumba Fitness,80.0,50,5368,0.625,67.1
Zumania,24.0,53,301,2.2083333333333335,12.541666666666666
Zuma's Revenge!,15.0,20,335,1.3333333333333333,22.333333333333332
Zuma,50.0,12,721,0.24,14.42
Zorro: The Chronicles,6.0,12,268,2.0,44.666666666666664
ZooKeeper,32.0,65,1423,2.03125,44.46875
Zoo Tycoon: Ultimate Animal Collection,80.0,59,10056,0.7375,125.7
Zoo Tycoon (Xbox 360),40.0,44,2009,1.1,50.225
Zoo Tycoon,40.0,48,2548,1.2,63.7
Zone of the Enders HD Collection,25.0,50,2884,2.0,115.36
Zomborg,0.25,11,32,44.0,128.0
Zombo Buster Rising,1.0,24,27,24.0,27.0
Zombo Buster Advance,1.0,17,110,17.0,110.0
"Zombies, Aliens and Guns",1.0,15,189,15.0,189.0
Zombies!!! (Windows),3.0,12,69,4.0,23.0
Zombies ruined my day,3.0,12,646,4.0,215.33333333333334
Zombies Ate My Neighbors and Ghoul Patrol,12.0,19,5255,1.5833333333333333,437.9166666666667
Zombieland: Double Tap - Road Trip,6.0,27,960,4.5,160.0
Zombie Wranglers,6.0,12,153,2.0,25.5
Zombie Watch,99.0,26,4211,0.26262626262626265,42.535353535353536
Zombie Vikings,20.0,33,2638,1.65,131.9
Zombie Survivors (Xbox One),2.0,15,82,7.5,41.0
Zombie Survivors,2.0,15,100,7.5,50.0
