Game Name,TA,GS,TAD,Num,Time,Score
while True: learn(),2687,1000,1687,28,8.0,5904.5
to a T,3752,1000,2752,33,15.0,6054.4
theHunter: Call of the Wild (Windows),8423,1000,7423,48,204.0,1746.5882352941176
theHunter: Call of the Wild,8651,1000,7651,48,120.0,3060.4
the World According to Girl,4231,1000,3231,30,31.0,3126.7741935483873
skate. (2007),2993,1000,1993,44,20.0,4384.6
sCATch: The Painter Cat,1039,1000,39,10,0.5,780.0
sCATch 2: The Painter Cat,1030,1000,30,10,0.5,600.0
reky,2233,1000,1233,22,6.0,4521.0
qomp2,1945,1000,945,12,3.0,3780.0
pureya,2915,1000,1915,10,23.0,832.6086956521739
orbit.industries,3692,1000,2692,35,44.0,2141.3636363636365
oOo: Ascension,2250,1000,1250,20,4.0,6250.0
inbento,1214,1000,214,15,1.0,3210.0
ilomilo plus (Windows),477,200,277,20,15.0,369.3333333333333
ilomilo,325,200,125,12,8.0,187.5
iStunt 2 (Windows),480,200,280,20,8.0,700.0
iO The Game (Windows),483,200,283,20,6.0,943.3333333333334
iO,5526,1500,4026,34,20.5,6677.268292682927
forma.8,1936,1000,936,30,12.0,2340.0
fig.,2815,1000,1815,25,11.0,4125.0
emoji Kart Racer,1162,1000,162,29,3.0,1566.0
eFootball PES 2021 SEASON UPDATE,3262,1000,2262,49,25.0,4433.52
eFootball PES 2020,3067,1000,2067,49,40.0,2532.075
eFootball,1680,1000,680,17,1.0,11560.0
despelote,1878,1000,878,11,5.0,1931.6
de Blob 2 (Xbox 360),2842,1000,1842,25,15.0,3070.0
de Blob 2,2427,1000,1427,26,15.0,2473.4666666666667
de Blob,4830,1000,3830,23,20.0,4404.5
art of rally,3897,1000,2897,43,20.0,6228.55
[REDACTED],2047,1000,1047,34,20.0,1779.9
Zumba Kids,1687,1000,687,20,12.0,1145.0
Zumba Fitness: Rush,3368,1000,2368,32,50.0,1515.52
Zumba Fitness World Party (JP),1344,1000,344,38,15.0,871.4666666666667
Zumba Fitness World Party,2486,1000,1486,39,15.0,3863.6
Zumba Fitness Core,2625,1000,1625,34,15.0,3683.3333333333335
Zumania,1301,1000,301,53,24.0,664.7083333333334
Zuma's Revenge!,735,400,335,20,15.0,446.6666666666667
Zuma,921,200,721,12,50.0,173.04
Zorro: The Chronicles,1268,1000,268,12,6.0,536.0
ZooKeeper,2317,1000,1317,65,33.0,2594.090909090909
Zoo Tycoon: Ultimate Animal Collection,11556,1500,10056,59,80.0,7416.3
Zoo Tycoon (Xbox 360),3009,1000,2009,44,40.0,2209.9
Zoo Tycoon,3548,1000,2548,48,40.0,3057.6
Zone of the Enders HD Collection,3884,1000,2884,50,25.0,5768.0
Zomborg,1032,1000,32,11,0.5,704.0
Zombo Buster Rising,1027,1000,27,24,1.0,648.0
Zombo Buster Advance,1110,1000,110,17,1.0,1870.0
"Zombies, Aliens and Guns",1189,1000,189,15,1.0,2835.0
Zombies!!! (Windows),269,200,69,12,3.0,276.0
Zombies ruined my day,1646,1000,646,12,3.0,2584.0
