Game Name,Overall Completion Time,Overall Ratio,Install Size (MB)
Call of Duty,170.0-220.5,3.245,315190.0
ARK: Survival Ascended,1.0-2.0,2.679,192220.0
Microsoft Flight Simulator,1000.0-1000.0,11.134,157000.0
ARK: Survival Evolved,2.0-4.0,2.3406666666666665,155960.0
Mortal Kombat 11,40.0-50.0,2.301,152640.0
Diablo IV,440.0-650.0,4.038787878787879,150870.0
Starfield,88.0-110.0,2.5366666666666666,147920.0
Forza Horizon 5,114.0-144.5,3.754909090909091,143740.0
S.T.A.L.K.E.R. 2: Heart of Chornobyl,100.0-120.0,6.661,142700.0
Halo Infinite,111.0-138.0,2.5386138613861386,142640.0
Star Wars Jedi: Survivor,40.0-50.0,1.788,134030.0
Indiana Jones and the Great Circle,40.0-50.0,2.228,133900.0
Gears of War 4,458.0-620.0,5.41425,133740.0
The Elder Scrolls Online,1000.0-1000.0,4.9415545590433485,127510.0
Gears 5,1000.0-1000.0,7.1588,126870.0
Assassin's Creed Valhalla,161.0-200.5,2.7805687203791467,120180.0
Sea of Thieves,1000.0-1000.0,9.181560283687944,115000.0
Sniper Elite 5,29.5-39.0,2.701090909090909,113670.0
Far Cry 6,82.0-109.0,2.93681592039801,112850.0
Fallout 76,171.0-215.0,3.367721518987342,107850.0
Fallout 76 (Windows),112.0-136.0,4.814556962025317,104690.0
Quantum Break,15.0-20.0,1.613,102560.0
Redfall,40.0-50.0,3.572,102280.0
Halo 5: Guardians,44.0-56.0,2.62,100970.0
Genshin Impact,300.0-500.0,2.73125,100210.0
For Honor,96.0-122.0,2.9873949579831933,96010.0
Wo Long: Fallen Dynasty,56.0-71.0,2.910410094637224,95870.0
Sniper Elite: Resistance,21.0-27.0,3.5785407725321887,91230.0
Age of Empires IV: Anniversary Edition,101.0-128.0,7.6075949367088604,90540.0
Dead Island 2 (Windows),54.0-66.0,2.9865671641791045,90190.0
EA SPORTS WRC,25.0-30.0,4.023,89570.0
DOOM Eternal (Windows),30.0-38.0,3.5158576051779935,89480.0
Mass Effect Legendary Edition,120.0-150.0,1.8552315608919383,88110.0
