Game Name,TA,GS,TAD,Num,Time,Score
while True: learn(),2687,1000,1687,28,8.0,5904.5
to a T,3752,1000,2752,33,15.0,6054.4
theHunter: Call of the Wild (Windows),8423,1000,7423,48,204.0,1746.5882352941176
ilomilo plus (Windows),477,200,277,20,15.0,369.3333333333333
iStunt 2 (Windows),480,200,280,20,8.0,700.0
iO The Game (Windows),483,200,283,20,6.0,943.3333333333334
eFootball,1680,1000,680,17,1.0,11560.0
art of rally,3897,1000,2897,43,20.0,6228.55
Zoo Tycoon: Ultimate Animal Collection,11556,1500,10056,59,80.0,7416.3
Zombies!!! (Windows),269,200,69,12,3.0,276.0
Zombie Rollerz: Pinball Heroes,5444,1000,4444,73,145.0,2237.3241379310343
Zombie Hill Racing,1781,1000,781,14,12.0,911.1666666666666
Zombie Derby: Pixel Survival (Windows),5348,5000,348,30,0.5,20880.0
Zombie Derby 2 (Windows),5494,5000,494,30,0.5,29640.0
Zombie Derby (Windows),5493,5000,493,30,0.5,29580.0
Zombie Army 4: Dead War,3728,1100,2628,59,41.5,3736.1927710843374
Zoffice (Windows),1004,1000,4,10,0.5,80.0
Ziggy (Windows),10290,4000,6290,38,0.5,478040.0
Zeus Quest - The Rebirth of Earth,1187,1000,187,26,1.0,4862.0
Zero Escape: Zero Time Dilemma,1217,1000,217,33,20.0,358.05
Zero Escape: The Nonary Games,1484,1000,484,38,40.0,459.8
ZERO GUNNER 2-,3020,1000,2020,30,7.0,8657.142857142857
Your Computer Might Be At Risk,1831,1000,831,37,7.0,4392.428571428572
Young Souls,2800,1000,1800,33,6.0,9900.0
You Suck at Parking,10507,1325,9182,25,44.0,5217.045454545455
Yooperlite (Windows),2016,2000,16,15,0.5,480.0
Yooka-Laylee and the Impossible Lair (Windows),2273,1000,1273,47,20.0,2991.55
Yooka-Laylee (Windows),1590,1000,590,35,20.0,1032.5
Yonder: The Cloud Catcher Chronicles,1846,1000,846,38,20.0,1607.4
"Yes, Your Grace",2295,1000,1295,35,12.0,3777.0833333333335
Yakuza: Like a Dragon,2054,1000,1054,62,80.0,816.85
Yakuza Kiwami 2 (Windows),2238,1000,1238,59,60.0,1217.3666666666666
Yakuza Kiwami (Windows),2916,1000,1916,55,60.0,1756.3333333333333
Yakuza 6: The Song of Life (Windows),1914,1000,914,59,40.0,1348.15
Yakuza 5 Remastered (Windows),2857,1000,1857,56,150.0,693.28
Yakuza 4 Remastered (Windows),2642,1000,1642,47,60.0,1286.2333333333333
Yakuza 3 Remastered (Windows),3203,1000,2203,50,60.0,1835.8333333333333
Yakuza 0 (Windows),4602,1000,3602,55,150.0,1320.7333333333333
YIIK: A Postmodern RPG (Windows),3030,1000,2030,26,30.0,1759.3333333333333
Xeno Crisis,3902,1000,2902,32,8.0,11608.0
XIII,2116,1000,1116,40,8.0,5580.0
XEL,3000,1000,2000,24,19.0,2526.315789473684
X-Morph: Defense,4011,1500,2511,40,36.0,2790.0
X-Force Genesis (Windows),1122,1000,122,10,1.0,1220.0
Wreckfest (Windows),3477,1000,2477,20,15.0,3302.6666666666665
