Name,Base TA,Overall TA,Base GS,Overall GS,Base Ratio,Overall Ratio,Base Time,Overall Time,Max Time,Site Rating,Num Gamers,Base Num Achievements,Overall Num Achievements,Base SSD,Base TAD Rate,Overall SSD Rate,Overall TAD Rate,Developer(s),Publisher(s),is 360?,BCMX Value,PDU,Server Closure,Delisted,Install Size
theHunter: Call of the Wild,9034,28191,1000,3730,9.034,7.5579088471849865,135.0,135.0,150.0,3.21,214501,73,114,4178.549999999999,59.51111111111111,50.291481481481476,181.1925925925926,Expansive Worlds,Avalanche Studios,False,3116.690905394249,1,False,False,50640.0
Zoo Tycoon: Ultimate Animal Collection,11636,11636,1500,1500,7.757333333333333,7.757333333333333,90.0,90.0,100.0,3.34,144601,59,59,2565.052380952381,112.62222222222222,28.50058201058201,112.62222222222222,"Frontier Developments, Asobo Studio",Xbox Game Studios,False,2160.5716852900387,0,False,False,8970.0
Zoo Tycoon: Ultimate Animal Collection,11636,11636,1500,1500,7.757333333333333,7.757333333333333,90.0,90.0,100.0,3.34,144601,59,59,2565.052380952381,112.62222222222222,28.50058201058201,112.62222222222222,"Frontier Developments, Asobo Studio",Xbox Game Studios,False,2160.5716852900387,0,False,False,8970.0
Zombie Army 4: Dead War,3749,4037,1100,1210,3.408181818181818,3.3363636363636364,46.75,61.75,72.0,3.93,148787,59,70,1324.3333333333335,56.663101604278076,24.329284750337383,45.78137651821862,"Rebellion, Flix Interactive, Radical Forge","Rebellion, Fireshine Games",False,438.77569729982383,0,False,False,62380.0
You Suck at Parking,11408,11408,1325,1325,8.609811320754718,8.609811320754718,50.0,50.0,56.0,3.16,87717,25,25,1444.8600000000001,201.66,28.8972,201.66,Happy Volcano,"Happy Volcano, Fireshine Games",False,1414.7460119147097,0,False,False,3830.0
Yakuza: Like a Dragon,2070,2070,1000,1000,2.07,2.07,90.0,90.0,100.0,4.58,82801,62,62,492.70000000000005,11.88888888888889,5.474444444444445,11.88888888888889,Ryu Ga Gotoku Studio,SEGA,False,297.8211375977199,0,False,False,37150.0
Yakuza Kiwami 2,2301,2301,1000,1000,2.301,2.301,70.0,70.0,80.0,4.45,32172,59,59,618.2738095238096,18.585714285714285,8.83248299319728,18.585714285714285,"SEGA, Ryu Ga Gotoku Studio",SEGA,False,279.2318251317353,0,False,False,43630.0
Yakuza Kiwami,3168,3168,1000,1000,3.168,3.168,70.0,70.0,80.0,4.27,60606,55,55,868.4333333333334,30.97142857142857,12.406190476190478,30.97142857142857,Ryu Ga Gotoku Studio,SEGA,False,451.094722696686,0,False,False,22330.0
Yakuza 6: The Song of Life,2036,2036,1000,1000,2.036,2.036,55.0,55.0,60.0,4.4,21263,59,59,512.5595238095239,18.836363636363636,9.31926406926407,18.836363636363636,Ryu Ga Gotoku Studio,SEGA,False,174.30823721671905,0,False,False,35760.0
Yakuza 5 Remastered,2980,2980,1000,1000,2.98,2.98,175.0,175.0,200.0,4.12,18782,57,57,922.5777777777779,11.314285714285715,5.271873015873017,11.314285714285715,Ryu Ga Gotoku Studio,SEGA,False,1028.8555194972712,0,False,False,37530.0
