Game Name,TA,GS,TAD,Num,Time,Score
while True: learn(),2687,1000,1687,28,8.0,5904.5
theHunter: Call of the Wild,8651,1000,7651,48,120.0,3060.4
the World According to Girl,4231,1000,3231,30,31.0,3126.7741935483873
sCATch: The Painter Cat,1039,1000,39,10,0.5,780.0
sCATch 2: The Painter Cat,1030,1000,30,10,0.5,600.0
reky,2233,1000,1233,22,6.0,4521.0
qomp2,1945,1000,945,12,3.0,3780.0
pureya,2915,1000,1915,10,23.0,832.6086956521739
orbit.industries,3692,1000,2692,35,44.0,2141.3636363636365
oOo: Ascension,2250,1000,1250,20,4.0,6250.0
inbento,1214,1000,214,15,1.0,3210.0
iO,5526,1500,4026,34,20.5,6677.268292682927
forma.8,1936,1000,936,30,12.0,2340.0
fig.,2815,1000,1815,25,11.0,4125.0
emoji Kart Racer,1162,1000,162,29,3.0,1566.0
eFootball PES 2021 SEASON UPDATE,3262,1000,2262,49,25.0,4433.52
eFootball PES 2020,3067,1000,2067,49,40.0,2532.075
eFootball,1680,1000,680,17,1.0,11560.0
de Blob 2,2427,1000,1427,26,15.0,2473.4666666666667
de Blob,4830,1000,3830,23,20.0,4404.5
art of rally,3897,1000,2897,43,20.0,6228.55
Zumba Fitness World Party (JP),1344,1000,344,38,15.0,871.4666666666667
Zumba Fitness World Party,2486,1000,1486,39,15.0,3863.6
Zumania,1301,1000,301,53,24.0,664.7083333333334
Zorro: The Chronicles,1268,1000,268,12,6.0,536.0
ZooKeeper,2317,1000,1317,65,33.0,2594.090909090909
Zoo Tycoon: Ultimate Animal Collection,11556,1500,10056,59,80.0,7416.3
Zoo Tycoon,3548,1000,2548,48,40.0,3057.6
Zomborg,1032,1000,32,11,0.5,704.0
Zombo Buster Rising,1027,1000,27,24,1.0,648.0
Zombo Buster Advance,1110,1000,110,17,1.0,1870.0
"Zombies, Aliens and Guns",1189,1000,189,15,1.0,2835.0
Zombies ruined my day,1646,1000,646,12,3.0,2584.0
Zombies Overloaded,1724,1000,724,20,4.0,3620.0
Zombies Ate My Neighbors and Ghoul Patrol,6255,1000,5255,19,12.0,8320.416666666666
Zombieland: Double Tap - Road Trip,1960,1000,960,27,6.0,4320.0
Zombie Watch,5211,1000,4211,26,99.0,1105.919191919192
Zombie Vikings,3638,1000,2638,33,20.0,4352.7
Zombie Survivors (Xbox One),1082,1000,82,15,2.0,615.0
Zombie Pinball,3299,1000,2299,11,59.0,428.6271186440678
Zombie Party,1636,1000,636,14,6.0,1484.0
Zombie Hill Racing,1781,1000,781,14,12.0,911.1666666666666
Zombie Driver Ultimate Edition,3978,2000,1978,47,17.0,5468.588235294118
Zombie Derby: Pixel Survival,5475,5000,475,30,0.5,28500.0
Zombie Derby 2,5801,5000,801,30,0.5,48060.0
Zombie Derby,5613,5000,613,30,0.5,36780.0
Zombie Army Trilogy,2852,1000,1852,68,40.0,3148.4
Zombie Army 4: Dead War,3728,1100,2628,59,41.5,3736.1927710843374
ZombFarm,1042,1000,42,13,0.5,1092.0
Zoffice,1007,1000,7,10,0.5,140.0
Ziggy,4592,4000,592,38,0.5,44992.0
Ziggurat 2,2696,1000,1696,60,40.0,2544.0
Ziggurat,2976,1000,1976,37,25.0,2924.48
Zeus Quest - The Rebirth of Earth,1187,1000,187,26,1.0,4862.0
Zeroptian Invasion,1064,1000,64,11,0.5,1408.0
Zero the Kamikaze Squirrel,1227,1000,227,13,1.0,2951.0
Zero Zero Zero Zero,1045,1000,45,11,1.0,495.0
Zero Strain,1099,1000,99,15,1.0,1485.0
Zero Escape: Zero Time Dilemma,1217,1000,217,33,20.0,358.05
Zero Escape: The Nonary Games,1484,1000,484,38,40.0,459.8
Zenith,1453,1000,453,12,8.0,679.5
Zazmo Arcade Pack,1342,1000,342,26,4.0,2223.0
Zapling Bygone,2072,1000,1072,26,14.0,1990.857142857143
Zaccaria Pinball,2986,1000,1986,10,1.0,19860.0
ZOMBI,4138,1000,3138,20,20.0,3138.0
ZHEROS,8634,1000,7634,20,25.0,6107.2
ZERO GUNNER 2-,3020,1000,2020,30,7.0,8657.142857142857
ZAMB! Redux,3198,1000,2198,18,18.0,2198.0
Z-Warp,2355,2000,355,21,0.5,14910.0
Yuppie Psycho: Executive Edition,2463,1000,1463,48,27.0,2600.8888888888887
Yuoni,1687,1000,687,11,4.0,1889.25
Yum Yum Cookstar,5044,1000,4044,37,25.0,5985.12
Yuletide Legends: Who Framed Santa Claus,1211,1000,211,21,2.0,2215.5
Yuko and the Akuma Menace,2338,1000,1338,21,26.0,1080.6923076923076
Yu-Gi-Oh! Master Duel,2528,1000,1528,11,40.0,420.2
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,1751,1000,751,24,50.0,360.48
Yu-Gi-Oh! Legacy of the Duelist,1833,1000,833,21,40.0,437.325
Ys Origin,5251,1000,4251,30,100.0,1275.3
Youtubers Life 2,2752,1000,1752,20,66.0,530.9090909090909
Youtubers Life - OMG Edition,6010,1000,5010,31,60.0,2588.5
Your Toy (CN),1077,1000,77,22,1.0,1694.0
Your Toy,1161,1000,161,22,1.0,3542.0
Your Computer Might Be At Risk,1831,1000,831,37,7.0,4392.428571428572
Young Souls,2800,1000,1800,33,6.0,9900.0
You Suck at Parking,10507,1325,9182,25,44.0,5217.045454545455
Yooperlite (Xbox One),2018,2000,18,15,0.5,540.0
Yooka-Laylee and the Impossible Lair,2505,1000,1505,47,15.0,4715.666666666667
Yooka-Laylee,2756,1000,1756,35,20.0,3073.0
Yonder: The Cloud Catcher Chronicles,1846,1000,846,38,20.0,1607.4
Yoku's Island Express,2080,1000,1080,31,12.0,2790.0
Yoko & Yuki: Dr. Rat's Revenge,1020,1000,20,17,0.5,680.0
Yohane the Parhelion: BLAZE in the DEEPBLUE,1460,1000,460,19,8.0,1092.5
Ynglet,1401,1100,301,11,1.5,2207.3333333333335
Yet Another Zombie Defense HD,1942,1000,942,27,6.0,4239.0
Yesterday Origins,1676,1000,676,36,8.0,3042.0
YesterMorrow,2604,1000,1604,40,20.0,3208.0
"Yes, Your Grace",2295,1000,1295,35,12.0,3777.0833333333335
Yello Adventures,1143,1000,143,10,1.0,1430.0
Yasai Ninja,2026,1000,1026,35,10.0,3591.0
Yars: Recharged,3390,1000,2390,15,14.0,2560.714285714286
Yars Rising,2643,1000,1643,33,28.0,1936.392857142857
Yakuza: Like a Dragon,2054,1000,1054,62,80.0,816.85
Yakuza Kiwami 2,2279,1000,1279,59,60.0,1257.6833333333334
Yakuza Kiwami,3125,1000,2125,55,60.0,1947.9166666666667
Yakuza 6: The Song of Life,2017,1000,1017,59,50.0,1200.06
Yakuza 5 Remastered,2949,1000,1949,57,150.0,740.62
Yakuza 4 Remastered,2742,1000,1742,48,60.0,1393.6
Yakuza 3 Remastered,3273,1000,2273,50,80.0,1420.625
Yakuza 0,4475,1000,3475,55,150.0,1274.1666666666667
Yaga,4281,1000,3281,42,29.0,4751.793103448276
Y. Village - The Visitors,1149,1000,149,12,0.5,3576.0
Xuan Yuan Sword: The Gate of Firmament (CN),2930,1000,1930,45,119.0,729.8319327731092
Xuan Yuan Sword: The Gate of Firmament,3861,1000,2861,45,100.0,1287.45
Xuan Yuan Sword 7 (Asian),1357,1000,357,43,19.0,807.9473684210526
Xuan Yuan Sword 7,1697,1000,697,43,15.0,1998.0666666666666
Xenoraid,2888,1000,1888,13,25.0,981.76
Xenon Valkyrie+,1571,1000,571,18,1.0,10278.0
Xenon Racer,3596,1080,2516,32,12.0,6709.333333333333
Xeno Crisis,3902,1000,2902,32,8.0,11608.0
Xbox Fitness,12603,1825,10778,31,335.0,997.3671641791045
Xatrom Command,1003,1000,3,11,0.5,66.0
XIII,2116,1000,1116,40,8.0,5580.0
XEL,3000,1000,2000,24,19.0,2526.315789473684
XCOM 2,3928,1000,2928,50,150.0,976.0
X-Morph: Defense,4011,1500,2511,40,36.0,2790.0
X-Force Under Attack,1151,1000,151,19,1.0,2869.0
X-Force Genesis,3799,2800,999,19,2.0,9490.5
Wytchwood,1571,1000,571,14,15.0,532.9333333333333
Wuppo,9704,1000,8704,23,37.0,5410.594594594595
Wunderling,1873,1000,873,41,8.0,4474.125
Wulverblade,3403,1000,2403,56,23.0,5850.782608695652
WrestleQuest,5033,1000,4033,100,130.0,3102.3076923076924
Wreckfest,3099,1000,2099,20,20.0,2099.0
Woven the Game,1409,1000,409,25,5.0,2045.0
Worse Than Death,2271,1000,1271,30,6.0,6355.0
Worms W.M.D.,8129,1000,7129,29,40.0,5168.525
Worms Rumble,10593,1000,9593,26,120.0,2078.483333333333
Worms Battlegrounds,5184,1000,4184,29,25.0,4853.44
Worms Armageddon: Anniversary Edition,2105,1000,1105,18,39.0,510.0
Worldless,3112,1000,2112,24,29.0,1747.8620689655172
World to the West,1402,1000,402,37,20.0,743.7
World of Warships: Legends,2650,1000,1650,38,200.0,313.5
World of Van Helsing: Deathtrap,5657,1250,4407,55,61.0,3973.5245901639346
World of Tanks,7851,2235,5616,122,3083.0,222.23548491728835
World of Outlaws: Dirt Racing 24,2054,1000,1054,32,64.0,527.0
World of Outlaws: Dirt Racing,2115,1000,1115,33,25.0,1471.8
World War Z,4291,1000,3291,35,150.0,767.9
World Soccer Strikers '91,1175,1000,175,21,1.0,3675.0
World Soccer Pinball,1649,1000,649,15,1.0,9735.0
World Of Solitaire,1431,1000,431,10,50.0,86.2
World II: Hunting Boss (CN),1054,1000,54,22,3.0,396.0
World II: Hunting Boss,1198,1000,198,22,3.0,1452.0
World Enduro Rally,2993,1270,1723,74,9.0,14166.888888888889
